consumer,mineral,year,hhi_import,hhi_wgi_import,hhi_import_wt,hhi_wgi_import_wt,n_partners,top_partner,top_partner_share,total_imports_M
Japan,Palladium,2015,0.419835705463826,0.2216250931556288,0.40702011746353867,0.21543539429297168,10,ZAF,0.5746617631128927,1258.584342
Japan,Palladium,2016,0.3946878402793447,0.21198094218149055,0.3821574463452096,0.20493613978709083,10,ZAF,0.5262896560720177,1143.185115
Japan,Palladium,2017,0.3890299778071697,0.21672600558641603,0.3787734033976342,0.21009843433017,13,ZAF,0.459806129612992,1600.9070736889998
Japan,Palladium,2018,0.41738710129661244,0.23792768494415328,0.40650443322875546,0.2320479523862431,12,RUS,0.5047210507853813,2019.131727203
Japan,Palladium,2019,0.41753610599130364,0.23411210389204157,0.41548794031174224,0.23212028638652593,14,ZAF,0.4673557087598888,2519.0918817210004
Japan,Palladium,2020,0.37237150078201015,0.20987182094563211,0.3628952259471746,0.20451086366373428,13,RUS,0.431744802609729,3486.277805863
Japan,Palladium,2021,0.3619948388724008,0.20431796048392453,0.3558730969487951,0.20125692661119277,12,ZAF,0.48779442874713785,3977.06222858
Japan,Palladium,2022,0.35779112517928807,0.20218847843480514,0.35678977215826546,0.20153918971342005,12,ZAF,0.5211015296082253,3636.780611657
Japan,Palladium,2023,0.39451836826465664,0.22143010063377042,0.3886889051793712,0.2186811466002984,14,ZAF,0.5747202503507532,1794.010156139
Japan,Platinum,2015,0.3821711749231023,0.1878870396907411,0.13600433885857952,0.043240158114696906,20,ZAF,0.6071062986341417,2452.085016
Japan,Platinum,2016,0.40330236317415835,0.19997868174382646,0.19903909030536235,0.061779416887230855,23,ZAF,0.6270413774758125,2263.465138
Japan,Platinum,2017,0.39547630308861687,0.19973208308972382,0.12887111217709143,0.041469823818394924,20,ZAF,0.6205160250938447,2387.299176715
Japan,Platinum,2018,0.3441364371016195,0.1758281796031538,0.10679262938842438,0.03656659841911106,25,ZAF,0.573532187739899,2933.046367237
Japan,Platinum,2019,0.23663831524568543,0.11792015799235409,0.11262151336555916,0.04303429438408714,25,ZAF,0.45546627880757745,3524.247934691
Japan,Platinum,2020,0.217090898113549,0.10775071573101284,0.13144255402988161,0.05658335613191675,26,ZAF,0.4303692844581002,6012.1738305
Japan,Platinum,2021,0.2682083372676465,0.14131407408459604,0.10893740439088456,0.043022712839282974,28,ZAF,0.4951589495980354,11667.812838734
Japan,Platinum,2022,0.31433955537375596,0.1670232911478311,0.11587040217478922,0.04048727978943312,30,ZAF,0.539227016711236,9147.664250318001
Japan,Platinum,2023,0.32649887095058316,0.1734027643616921,0.10509813961016141,0.037354118172365273,27,ZAF,0.552975858625284,5572.013561487
Japan,Rare Earths,2015,0.23622610218363566,0.1340770905715577,0.3598051258989975,0.19646204798246414,16,CHN,0.3733392781740095,421.47471
Japan,Rare Earths,2016,0.23651319824646305,0.1309366489993975,0.3659965954524747,0.2005082898948113,16,CHN,0.35964379052091516,374.691994
Japan,Rare Earths,2017,0.26168459936071253,0.1413945514749474,0.3939884647967916,0.2122912068428563,16,CHN,0.38573117289069614,472.18307923899994
Japan,Rare Earths,2018,0.2723639025804059,0.14864956961573653,0.37711806806287373,0.20551273095974346,16,CHN,0.4195594680982295,559.9343809349999
Japan,Rare Earths,2019,0.26362420314116264,0.1427960437875383,0.4155230633384519,0.2246530014026185,12,CHN,0.4269268255862628,503.059623876
Japan,Rare Earths,2020,0.25218772005524687,0.13725975077876926,0.3713026892227455,0.20206803078274876,12,CHN,0.4047143365303148,418.430584095
Japan,Rare Earths,2021,0.3570084224020058,0.19535628745735995,0.4839538408256925,0.26482290703819716,11,CHN,0.5094642620209371,598.491179869
Japan,Rare Earths,2022,0.47435435711961316,0.26431854606086064,0.47276901333697197,0.2603340566492824,12,CHN,0.6561368481514607,993.276572706
Japan,Rare Earths,2023,0.45216239507099487,0.24924616062878738,0.4847828746612775,0.26504531279620125,10,CHN,0.6474411509809661,637.067542213
Japan,Silicon,2015,0.24265028625662283,0.09976954930659064,0.36295874108450205,0.10442537972246331,21,USA,0.35806678541924325,2062.443952
Japan,Silicon,2016,0.29520614103458487,0.10337560463486205,0.36281457442591264,0.09952616145594768,24,USA,0.47456982327597885,2236.638389
Japan,Silicon,2017,0.3184782674403114,0.11944170425537211,0.40407944591597916,0.11281910119458574,23,USA,0.4716337223015057,2109.217319274
Japan,Silicon,2018,0.29691787580037515,0.11956268269250271,0.4133481496841077,0.11090318668742377,22,USA,0.415047992677908,2218.025492224
Japan,Silicon,2019,0.24199812208026591,0.10610630877410603,0.3544375425087205,0.09168037121304747,23,CHN,0.351289014122399,1660.158954401
Japan,Silicon,2020,0.2309075191067809,0.10609117702650112,0.37376903748954066,0.10297814725249178,25,CHN,0.35300829778331405,1411.298125388
Japan,Silicon,2021,0.3055170853509817,0.15568896621670422,0.41551865825921686,0.1211453435222566,24,CHN,0.493274123385779,2032.3127023470001
Japan,Silicon,2022,0.23316166442629838,0.11556621341891875,0.44876348674483685,0.11937813672146791,24,CHN,0.4089033370748332,2238.279616115
Japan,Silicon,2023,0.22067880774082288,0.09883163084360679,0.4727208003858823,0.12083950616965568,25,CHN,0.3304051189623225,1782.299620661
