mineral,year,rp_ratio,rp_log,byproduct_frac,hhi_mining,hhi_processing,hhi_bottleneck,import_reliance,hhi_wgi,export_restriction_score,enduse_hhi,risk_weighted,n_substitutes,avg_performance_penalty,eu_substitution_index_ei,eu_substitution_index_sr,eol_rir,rp_log_norm,byproduct_frac_norm,hhi_bottleneck_norm,hhi_mining_norm,hhi_processing_norm,import_reliance_norm,hhi_wgi_norm,export_restriction_score_norm,risk_weighted_norm,enduse_hhi_norm,eu_substitution_index_sr_norm,avg_performance_penalty_norm,eol_rir_norm,D1,D2,D3,D4,CMVI,CMVI_rank
Cobalt,2016,63.184998056743105,4.161769508261017,0.85,0.4016517532587882,0.7583820854978313,0.7583820854978313,0.76,0.43991183355761193,0.4533618344345122,0.8914400207256429,0.022062801067024695,1,0.02,0.97,0.98,0.22,0.5353185425687359,0.8585858585858586,0.7256469767752518,0.3420105507362758,0.700093203875954,0.625,0.738376853543753,0.6395640164344012,0.0,0.8091722530551974,0.9310344827586207,0.06896551724137932,0.6000000000000001,0.6610413860831279,0.7004852325814388,0.4183229028489138,0.5772930632637993,0.5782743165589814,4
Cobalt,2017,55.44686527345487,4.0332997580255086,0.85,0.4344485894724023,0.7583820854978313,0.7583820854978313,0.76,0.41681172913248393,0.7338372610048911,0.8914400207256429,0.02171618682970209,1,0.02,0.97,0.98,0.22,0.5782664905872538,0.8585858585858586,0.7308597907921552,0.3752102663471328,0.6904377026940283,0.625,0.7359137153162761,1.0,0.0,0.8091722530551974,0.9310344827586207,0.06896551724137932,0.6000000000000001,0.6777433658681071,0.7043948430941165,0.5075698003606967,0.5772930632637993,0.611566079240119,3
Cobalt,2018,45.150172328902016,3.8319006950459418,0.85,0.5423835225474908,0.7583820854978313,0.7583820854978313,0.76,0.44416963818480876,0.7910248294295562,0.8914400207256429,0.02052067046845326,1,0.02,0.97,0.98,0.22,0.557599088297135,0.8585858585858586,0.7342168584218851,0.4674661598245841,0.6836044611474967,0.625,0.7906565246036531,1.0,0.0,0.8091722530551974,0.9310344827586207,0.06896551724137932,0.6000000000000001,0.6697060427552832,0.7069126438164138,0.5267297836112785,0.5772930632637993,0.6159685598181047,3
Cobalt,2019,47.59765200376839,3.88357521705969,0.85,0.5336034442420585,0.7583820854978313,0.7583820854978313,0.76,0.42991720944115025,0.7906370026813536,0.8914400207256429,0.016909403015919026,1,0.02,0.97,0.98,0.22,0.5322578460867262,0.8585858585858586,0.7355535245443012,0.4570073808824134,0.6911073028503588,0.625,0.7707427041314208,1.0,0.0,0.8091722530551974,0.9310344827586207,0.06896551724137932,0.6000000000000001,0.6598511152290132,0.7079151434082259,0.5197599464459972,0.5772930632637993,0.6118663597313051,3
Cobalt,2020,52.291805957952604,3.9757825849810877,0.85,0.5400744468548947,0.7583820854978313,0.7583820854978313,0.76,0.43937616365812837,0.8055865091746527,0.8914400207256429,0.019508876066661716,1,0.02,0.97,0.98,0.22,0.49881540932488166,0.8585858585858586,0.7209229044744939,0.47244808145681977,0.688209797985025,0.625,0.7762054363453063,1.0,0.0,0.8091722530551974,0.9310344827586207,0.06896551724137932,0.6000000000000001,0.6468457231549625,0.6969421783558705,0.5216719027208572,0.5772930632637993,0.6070127470316761,3
Cobalt,2021,52.291805957952604,3.9757825849810877,0.85,0.5400744468548947,0.7583820854978313,0.7583820854978313,0.76,0.42869411231733184,0.5177178515712058,0.8914400207256429,0.01758980915979496,1,0.02,0.97,0.98,0.22,0.49881540932488166,0.8585858585858586,0.7209229044744939,0.47244808145681977,0.6848458011954959,0.625,0.758196170066225,0.8831188016451352,0.0,0.8091722530551974,0.9310344827586207,0.06896551724137932,0.6000000000000001,0.6468457231549625,0.6969421783558705,0.48614835993446254,0.5772930632637993,0.5964041487596237,3
Cobalt,2022,30.35621873382784,3.4454126121226527,0.85,0.5797205166913261,0.7583820854978313,0.7583820854978313,0.76,0.4700186899632985,0.526651716405037,0.8914400207256429,0.01402624664912886,1,0.02,0.97,0.98,0.22,0.8190999389425115,0.8585858585858586,0.7281382591656897,0.5004932143021882,0.6543865398793575,0.625,0.8387016156536313,0.8660171147278157,0.012008473708507753,0.8091722530551974,0.9310344827586207,0.06896551724137932,0.6000000000000001,0.771400818006263,0.7023536943742673,0.5148532336441279,0.5772930632637993,0.6334742084325936,4
Cobalt,2023,42.664309125409694,3.776531043581122,0.85,0.5797205166913261,0.7583820854978313,0.7583820854978313,0.76,0.47412152380687306,0.828531999309988,0.8914400207256429,0.010143104269809097,1,0.02,0.97,0.98,0.22,0.3515516319919153,0.8585858585858586,0.7281382591656897,0.5004932143021882,0.6543865398793575,0.625,0.8593472480253306,1.0,0.0,0.8091722530551974,0.9310344827586207,0.06896551724137932,0.6000000000000001,0.5895764764143645,0.7023536943742673,0.5507715368088657,0.5772930632637993,0.6023736436913716,3
Nickel,2015,33.77673325499413,3.5489485785514514,0.0,0.1288252891117245,0.3933612678138735,0.3933612678138735,0.48,0.22658272356361608,0.31574148061104584,0.588498355862346,0.04858531097375637,2,0.0799999999999999,0.88,0.92,0.16,0.6230264572786637,0.0,0.2514846433442121,0.0,0.14185969383107366,0.1875,0.3088067535188556,0.4247845673565265,0.26083678792785214,0.2766585611036585,0.724137931034483,0.2758620689655169,0.7090909090909091,0.43925776368917735,0.23548848250815907,0.3186132207418719,0.44416464027591457,0.3478357554978306,14
Nickel,2016,34.66508778252587,3.574172277034301,0.0,0.10532746055896094,0.3933612678138735,0.3933612678138735,0.48,0.22027335100486042,0.32590228080111205,0.588498355862346,0.054381029697531356,2,0.0799999999999999,0.88,0.92,0.16,0.65240583674593,0.0,0.256286681221532,0.0,0.13224792801947508,0.1875,0.2903839984396193,0.45975500327299734,0.2630719509527339,0.2766585611036585,0.724137931034483,0.2758620689655169,0.7090909090909091,0.4506830779264476,0.23909001091614898,0.32180193065320967,0.44416464027591457,0.3522827092194883,15
